=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.27 14:02:26 =~=~=~=~=~=~=~=~=~=~=~=

RFM69 radio init OK!
one circle time, sleep_time, awake time, set_sleepTime, set_buffer, set_sendtoWait, set_send, set_randomTime_in_sendtoWait, set_waitAvailableTimeout, waitAvailableTimeout_within_numTimes
90.00, 82, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 287
35.00, 22, 13.00, 2.00, 0.00, 10.00, 2.00, 0.00, 8.00, 493
33.00, 25, 8.00, 0.00, 0.00, 8.00, 2.00, 2.00, 4.00, 255
23.00, 11, 12.00, 0.00, 0.00, 13.00, 4.00, 0.00, 9.00, 546
16.00, 8, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 305
11.00, 1, 10.00, 2.00, 0.00, 9.00, 4.00, 0.00, 5.00, 230
53.00, 44, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 377
23.00, 16, 7.00, 0.00, 0.00, 7.00, 2.00, 0.00, 5.00, 173
28.00, 18, 10.00, 2.00, 0.00, 8.00, 2.00, 0.00, 6.00, 333
19.00, 8, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 461
35.00, 24, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 491
35.00, 22, 13.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 633
66.00, 57, 9.00, 0.00, 0.00, 9.00, 2.00, 0.00, 7.00, 310
24.00, 10, 14.00, 2.00, 0.00, 12.00, 2.00, 0.00, 10.00, 623
37.00, 25, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 554
64.00, 55, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 313
27.00, 19, 8.00, 2.00, 0.00, 7.00, 2.00, 3.00, 2.00, 104
35.00, 26, 9.00, 0.00, 0.00, 9.00, 2.00, 0.00, 7.00, 346
131.00, 119, 12.00, 2.00, 0.00, 11.00, 2.00, 0.00, 9.00, 437
57.00, 45, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 585
62.00, 51, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 453
20.00, 8, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 609
71.00, 60, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 548
31.00, 18, 13.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 627
37.00, 25, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 555
139.00, 128, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 521
20.00, 10, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 452
15.00, 8, 7.00, 0.00, 0.00, 7.00, 2.00, 0.00, 5.00, 157
49.00, 36, 13.00, 2.00, 0.00, 12.00, 4.00, 0.00, 8.00, 521
72.00, 62, 10.00, 0.00, 0.00, 11.00, 5.00, 0.00, 6.00, 402
14.00, 4, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 452
60.00, 51, 9.00, 0.00, 0.00, 9.00, 3.00, 0.00, 6.00, 313
76.00, 64, 12.00, 2.00, 0.00, 11.00, 2.00, 2.00, 7.00, 411
57.00, 46, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 521
10.00, 0, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 448
75.00, 65, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 486
43.00, 31, 12.00, 0.00, 0.00, 12.00, 2.00, 2.00, 8.00, 576
86.00, 76, 10.00, 0.00, 0.00, 11.00, 2.00, 0.00, 6.00, 425
20.00, 11, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 386
